,job_name,job_href,job_site,job_price_min,job_price_max,job_price_currency
0,Разработчик SQL и OLAP,https://ekaterinburg.hh.ru/vacancy/67272954?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
1,Python-разработчик,https://ekaterinburg.hh.ru/vacancy/66503197?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,80000,0,руб.
2,Программист-разработчик Python,https://ekaterinburg.hh.ru/vacancy/67429128?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,150000,0,руб.
3,Python Developer,https://ekaterinburg.hh.ru/vacancy/54936646?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,150000,250000,руб.
4,Разработчик Python под Linux,https://ekaterinburg.hh.ru/vacancy/38348123?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,120000,0,руб.
5,Backend Developer,https://ekaterinburg.hh.ru/vacancy/55296313?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,60000,180000,руб.
6,Python developer,https://ekaterinburg.hh.ru/vacancy/67354878?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
7,Программист Python,https://ekaterinburg.hh.ru/vacancy/50258259?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
8,Разработчик Python,https://ekaterinburg.hh.ru/vacancy/66908178?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
9,QA automation engineer (Python),https://ekaterinburg.hh.ru/vacancy/67120324?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
10,Python-разработчик (middle),https://ekaterinburg.hh.ru/vacancy/67415871?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
11,Python разработчик (ID 10741),https://ekaterinburg.hh.ru/vacancy/67324998?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
12,Преподаватель Web-разработки на Python+JavaScript,https://ekaterinburg.hh.ru/vacancy/67435389?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
13,Python-разработчик в Практикум,https://ekaterinburg.hh.ru/vacancy/67299784?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
14,Начинающий специалист по DevOps направлению (практикант),https://ekaterinburg.hh.ru/vacancy/67438054?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
15,Middle Python Developer (remote),https://ekaterinburg.hh.ru/vacancy/66494820?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,200000,0,руб.
16,Python разработчик (backend),https://ekaterinburg.hh.ru/vacancy/67270682?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
17,Python разработчик (backend),https://ekaterinburg.hh.ru/vacancy/67272380?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
18,Data Engineer,https://ekaterinburg.hh.ru/vacancy/49315385?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
19,Middle Python Developer,https://ekaterinburg.hh.ru/vacancy/67132540?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,170000,0,руб.
20,Python developer,https://ekaterinburg.hh.ru/vacancy/66112913?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,100000,руб.
21,Аналитик данных,https://ekaterinburg.hh.ru/vacancy/67235235?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,0,не указано
22,Full-stack разработчик,https://ekaterinburg.hh.ru/vacancy/66701918?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,hh.ru,0,120000,руб.
